dipz,charge,casno,squib,state,config,diptot
,0,14989301,NISTdiatomic,1,1,1.2390000e+000
,0,15606710,NISTDiatomic,1,1,4.2649999e+000
,0,15626434,,1,1,0.0000000e+000
,0,16136848,NSRDS-NBS10,1,1,1.6700000e+000
,0,16136859,NSRDS-NBS10,1,1,1.9700000e+000
,0,16860994,NSRDS-NBS10,1,1,1.0300000e+000
0.0000000e+000,0,16873179,,1,1,0.0000000e+000
,0,17739478,NISTdiatomic,1,1,2.7512801e+000
0.0000000e+000,0,17778802,,1,1,0.0000000e+000
0.0000000e+000,0,17778880,,1,1,0.0000000e+000
,0,20619163,1971Vau:21,1,1,3.2800000e+000
,0,20729413,NSRDS-NBS10,1,1,1.9000000e+000
,0,20901217,NSRDS-NBS10,1,1,1.4700000e+000
6.3999999e-001,0,22400266,NISTTriatomic,1,1,6.3999999e-001
0.0000000e+000,0,22537151,,1,1,0.0000000e+000
,0,23550450,NSRDS-NBS10,1,1,0.0000000e+000
,0,25681792,NSRDS-NBS10,1,1,0.0000000e+000
1.2880000e+000,0,26404660,1986Sue/Lov:406,1,1,1.9870000e+000
,0,29904798,NSRDS-NBS10,1,1,0.0000000e+000
,0,30830207,NSRDS-NBS10,1,1,0.0000000e+000
,0,32752946,NSRDS-NBS10,1,1,0.0000000e+000
,0,61183537,1981Kro/Nix:367,1,1,8.6900002e-001
